Pressure (bar),Temperature (0 C),Cat_MolLogP,An_BalabanJ,Cat_EState_VSA9,Anion_pKa,Cat_VSA_EState3,An_Ipc,Cat_Chi0n,Cat_SMR_VSA5,Cat_EState_VSA2,Cat_Chi2n,Cat_EState_VSA8,Cat_Chi4v,Cat_BCUT2D_LOGPLOW,Cat_Chi2v,Cat_TPSA,Cat_BCUT2D_MRHI,An_Chi3n,An_PEOE_VSA3
4.001,50.0,1.4927,5.284512596,0.0,-10.0,0.0,484.0282471,6.568533939,20.26829602,0.0,2.975566021,27.94281836,0.763441362,-2.390502427,2.975566021,0.0,4.251489439,0.781235864,16.83559397
6.0,25.0,1.42112,4.431293675,0.0,-15.0,0.0,4.14170945,7.670448073,33.23387405,0.0,3.003208827,42.42303282,1.163612434,-2.346436727,3.003208827,8.81,4.759205291,0.0,0.0
3.5,45.0,1.1127,3.257586161,0.0,2.34,0.0,13.60964047,6.747798342,26.31013685,0.0,2.670461187,34.77894371,0.97467268,-2.300196406,2.670461187,8.81,4.612538159,0.371785024,0.0
11.0,25.0,2.0269,5.284512596,0.0,-11.0,0.0,484.0282471,7.396961064,32.60702369,0.0,3.850984256,13.97140918,1.86229292,-2.408798699,3.850984256,0.0,4.508065721,0.781235864,16.83559397
20.0,40.0,4.2539,5.90678447,0.0,-12.0,0.0,6252.123972,9.396961064,46.95741367,0.0,3.721037663,27.6949488,5.027126913,-2.066831898,8.748899428,0.0,7.753093848,1.504221363,16.83559397
2.0,30.0,2.7101,5.284512596,4.736862954,-10.5,0.0,484.0282471,8.390995792,20.7712116,0.0,3.006730162,20.7712116,4.290294908,-2.105229475,8.034591927,9.23,7.753402271,0.781235864,16.83559397
1.0,60.0,5.4242,5.284512596,0.0,-11.0,0.0,484.0282471,11.51828141,66.21987854,0.0,4.781697835,27.6949488,5.557456999,-2.068398149,9.8095596,0.0,7.753097329,0.781235864,16.83559397
1.123,30.0,2.6731,5.284512596,0.0,-11.0,0.0,484.0282471,9.576225467,51.99342334,0.0,4.08467475,41.8266157,1.708692282,-2.301583331,4.08467475,8.81,4.614116271,0.781235864,16.83559397
75.04,65.0,2.0269,5.284512596,0.0,-11.0,0.0,484.0282471,7.396961064,32.60702369,0.0,3.850984256,13.97140918,1.86229292,-2.408798699,3.850984256,0.0,4.508065721,0.781235864,16.83559397
0.0241,50.0,1.1127,5.284512596,0.0,-11.0,0.0,484.0282471,6.747798342,26.31013685,0.0,2.670461187,34.77894371,0.97467268,-2.300196406,2.670461187,8.81,4.612538159,0.781235864,16.83559397
0.0746,25.01,4.4415,5.284512596,0.0,-11.0,0.0,484.0282471,12.95422971,48.75452239,0.0,5.566687789,0.0,1.86252649,-2.696407643,5.566687789,8.81,5.096314209,0.781235864,16.83559397
6.995,50.0,1.8929,5.284512596,0.0,-11.0,0.0,484.0282471,8.162011905,39.1517801,0.0,3.377567969,41.8266157,1.355138891,-2.301490519,3.377567969,8.81,4.613626824,0.781235864,16.83559397
0.025,35.0,-0.3151,2.349936739,5.106527395,1.99,8.38625,93.10259339,5.308640753,0.0,6.606881965,2.73753768,21.14301595,0.3,-2.364053132,2.73753768,20.23,4.186395699,1.344830979,0.0
9.999,40.0,2.0269,4.458227082,0.0,-10.0,0.0,27.43574108,7.396961064,32.60702369,0.0,3.850984256,13.97140918,2.039069615,-2.476533036,3.850984256,0.0,4.501831556,0.178059741,16.83559397
62.05,80.23,-0.305,2.803039488,5.106527395,-1.4,8.514237528,3.245112498,6.195011938,12.96557803,6.606881965,2.394067985,4.567099648,0.887269475,-2.307193649,2.394067985,29.04,4.612611139,0.0,0.0
52.927,60.0,0.3325,3.576866225,0.0,1.4,0.0,64.0524865,5.33358478,13.46849361,0.0,1.909528765,24.01500049,0.688772899,-2.281029183,1.909528765,8.81,4.609221388,0.574426656,0.0
34.96,25.0,2.8071,5.284512596,0.0,-11.0,0.0,484.0282471,8.811174626,45.44866694,0.0,4.558091038,13.97140918,2.242759131,-2.409463473,4.558091038,0.0,4.517695573,0.781235864,16.83559397
15.93,65.1,2.6731,3.817887676,0.0,-5.0,0.0,34.39946188,9.576225467,51.99342334,0.0,4.08467475,41.8266157,1.708692282,-2.301583331,4.08467475,8.81,4.614116271,0.335410197,15.78567466
6.846,60.0,1.3609,5.284512596,0.0,-10.5,0.0,484.0282471,7.720336126,6.544756406,0.0,3.237013442,41.35673157,1.389481779,-2.233288891,3.237013442,8.81,5.142192816,0.781235864,16.83559397
1.0,30.0,-0.82,3.032455532,0.0,9.95,0.0,70.79892376,5.27564072,6.420821623,0.0,2.010382706,24.72892117,0.428031165,-2.504699078,2.010382706,30.88,4.381734657,0.813637767,4.390415048
9.92,35.0,2.6731,3.817887676,0.0,-5.0,0.0,34.39946188,9.576225467,51.99342334,0.0,4.08467475,41.8266157,1.708692282,-2.301583331,4.08467475,8.81,4.614116271,0.335410197,15.78567466
2.547,60.0,0.3325,3.576866225,0.0,1.4,0.0,64.0524865,5.33358478,13.46849361,0.0,1.909528765,24.01500049,0.688772899,-2.281029183,1.909528765,8.81,4.609221388,0.574426656,0.0
4.0,10.0,1.6762,3.257586161,0.0,2.34,0.0,13.60964047,7.032255393,26.31013685,0.0,2.634779991,24.2666161,0.991808691,-2.299474094,2.634779991,8.81,5.124721106,0.371785024,0.0
0.6,25.0,1.42112,4.431293675,0.0,-15.0,0.0,4.14170945,7.670448073,33.23387405,0.0,3.003208827,42.42303282,1.163612434,-2.346436727,3.003208827,8.81,4.759205291,0.0,0.0
22.08,65.25,1.8929,5.284512596,0.0,-11.0,0.0,484.0282471,8.162011905,39.1517801,0.0,3.377567969,41.8266157,1.355138891,-2.301490519,3.377567969,8.81,4.613626824,0.781235864,16.83559397
0.193,20.0,1.6762,2.847378923,0.0,2.34,0.0,9.651484454,7.032255393,26.31013685,0.0,2.634779991,24.2666161,0.991808691,-2.299474094,2.634779991,8.81,5.124721106,0.166666667,0.0
3.5,40.0,1.6762,2.349936739,0.0,1.99,0.0,93.10259339,7.032255393,26.31013685,0.0,2.634779991,24.2666161,0.991808691,-2.299474094,2.634779991,8.81,5.124721106,1.344830979,0.0
2.5,50.0,1.1127,5.284512596,0.0,-11.0,0.0,484.0282471,6.747798342,26.31013685,0.0,2.670461187,34.77894371,0.97467268,-2.300196406,2.670461187,8.81,4.612538159,0.781235864,16.83559397
4.0,25.0,2.8071,5.284512596,0.0,-11.0,0.0,484.0282471,8.811174626,45.44866694,0.0,4.558091038,13.97140918,2.242759131,-2.409463473,4.558091038,0.0,4.517695573,0.781235864,16.83559397
5.0,25.0,1.42112,4.431293675,0.0,-15.0,0.0,4.14170945,7.670448073,33.23387405,0.0,3.003208827,42.42303282,1.163612434,-2.346436727,3.003208827,8.81,4.759205291,0.0,0.0
0.005792,45.0,-0.3151,3.49072966,5.106527395,2.19,8.38625,111.0417522,5.308640753,0.0,6.606881965,2.73753768,21.14301595,0.3,-2.364053132,2.73753768,20.23,4.186395699,0.971956703,0.0
41.8,80.0,1.1127,3.850621639,0.0,-3.0,0.0,12.16479704,6.747798342,26.31013685,0.0,2.670461187,34.77894371,0.97467268,-2.300196406,2.670461187,8.81,4.612538159,0.204124145,8.417796984
50.0,40.0,1.1127,2.803039488,0.0,4.76,0.0,3.245112498,6.747798342,26.31013685,0.0,2.670461187,34.77894371,0.97467268,-2.300196406,2.670461187,8.81,4.612538159,0.0,0.0
15.0,35.45,0.3325,5.284512596,0.0,-11.0,0.0,484.0282471,5.33358478,13.46849361,0.0,1.909528765,24.01500049,0.688772899,-2.281029183,1.909528765,8.81,4.609221388,0.781235864,16.83559397
5.94,65.1,1.8929,3.817887676,0.0,-5.0,0.0,34.39946188,8.162011905,39.1517801,0.0,3.377567969,41.8266157,1.355138891,-2.301490519,3.377567969,8.81,4.613626824,0.335410197,15.78567466
11.0,25.02,1.8929,5.284512596,0.0,-11.0,0.0,484.0282471,8.162011905,39.1517801,0.0,3.377567969,41.8266157,1.355138891,-2.301490519,3.377567969,8.81,4.613626824,0.781235864,16.83559397
4.741,70.0,1.8929,5.284512596,0.0,-11.0,0.0,484.0282471,8.162011905,39.1517801,0.0,3.377567969,41.8266157,1.355138891,-2.301490519,3.377567969,8.81,4.613626824,0.781235864,16.83559397
30.038,25.0,1.1127,5.284512596,0.0,-11.0,0.0,484.0282471,6.747798342,26.31013685,0.0,2.670461187,34.77894371,0.97467268,-2.300196406,2.670461187,8.81,4.612538159,0.781235864,16.83559397
0.999,50.0,0.7226,5.284512596,0.0,-11.0,0.0,484.0282471,6.040691561,19.88931523,0.0,2.316907797,34.77894371,0.892183501,-2.296317518,2.316907797,8.81,4.611389574,0.781235864,16.83559397
5.1,20.0,2.0269,5.284512596,0.0,-11.0,0.0,484.0282471,7.396961064,32.60702369,0.0,3.850984256,13.97140918,1.86229292,-2.408798699,3.850984256,0.0,4.508065721,0.781235864,16.83559397
0.009975,15.0,-0.3151,2.641763905,5.106527395,2.2,8.38625,758.7643883,5.308640753,0.0,6.606881965,2.73753768,21.14301595,0.3,-2.364053132,2.73753768,20.23,4.186395699,1.694705198,0.0
2.5,9.95,1.1127,5.284512596,0.0,-11.0,0.0,484.0282471,6.747798342,26.31013685,0.0,2.670461187,34.77894371,0.97467268,-2.300196406,2.670461187,8.81,4.612538159,0.781235864,16.83559397
0.258,40.0,1.6762,3.637682548,0.0,2.29,0.0,39.36806555,7.032255393,26.31013685,0.0,2.634779991,24.2666161,0.991808691,-2.299474094,2.634779991,8.81,5.124721106,0.99039904,0.0
17.7,35.29,1.1127,2.803039488,0.0,-1.4,0.0,3.245112498,6.747798342,26.31013685,0.0,2.670461187,34.77894371,0.97467268,-2.300196406,2.670461187,8.81,4.612538159,0.0,0.0
7.837,40.0,-0.6951,4.431293675,5.106527395,-15.0,8.498854875,4.14170945,5.487905156,6.544756406,6.606881965,2.040514595,0.0,0.749454665,-2.23449804,2.040514595,29.04,4.642363983,0.0,0.0
39.11,60.0,-0.041,5.284512596,4.736862954,-10.5,0.0,484.0282471,6.448939851,6.544756406,0.0,2.309707077,4.567099648,0.83068096,-2.235190596,2.309707077,18.04,4.644794976,0.781235864,16.83559397
39.6,50.0,-2.5143,0.0,10.21305479,-6.0,16.72166667,0.0,5.222854316,0.0,13.21376393,1.904320377,0.0,0.506720681,-3.095470055,1.904320377,44.9,4.199979258,0.0,0.0
5.93,65.1,1.1127,3.817887676,0.0,-5.0,0.0,34.39946188,6.747798342,26.31013685,0.0,2.670461187,34.77894371,0.97467268,-2.300196406,2.670461187,8.81,4.612538159,0.335410197,15.78567466
0.77,20.0,1.6762,2.847378923,0.0,2.34,0.0,9.651484454,7.032255393,26.31013685,0.0,2.634779991,24.2666161,0.991808691,-2.299474094,2.634779991,8.81,5.124721106,0.166666667,0.0
2.48,59.97,1.8929,8.661439749,0.0,-16.0,0.0,974112.7932,8.162011905,39.1517801,0.0,3.377567969,41.8266157,1.355138891,-2.301490519,3.377567969,8.81,4.613626824,3.999174406,0.0
15.68,40.15,1.1127,4.431293675,0.0,-15.0,0.0,4.14170945,6.747798342,26.31013685,0.0,2.670461187,34.77894371,0.97467268,-2.300196406,2.670461187,8.81,4.612538159,0.0,0.0
3.997,50.0,1.8929,5.284512596,0.0,-11.0,0.0,484.0282471,8.162011905,39.1517801,0.0,3.377567969,41.8266157,1.355138891,-2.301490519,3.377567969,8.81,4.613626824,0.781235864,16.83559397
5.0,44.85,0.3325,5.284512596,0.0,-11.0,0.0,484.0282471,5.33358478,13.46849361,0.0,1.909528765,24.01500049,0.688772899,-2.281029183,1.909528765,8.81,4.609221388,0.781235864,16.83559397
2.998,70.0,1.6368,4.458227082,0.0,-10.0,0.0,27.43574108,6.689854283,26.18620207,0.0,3.497430866,13.97140918,1.86229292,-2.406421229,3.497430866,0.0,4.499575973,0.178059741,16.83559397
0.989,20.0,1.6762,3.257586161,0.0,2.34,0.0,13.60964047,7.032255393,26.31013685,0.0,2.634779991,24.2666161,0.991808691,-2.299474094,2.634779991,8.81,5.124721106,0.371785024,0.0
18.93,35.0,2.283,3.817887676,0.0,-5.0,0.0,34.39946188,8.869118686,45.57260172,0.0,3.731121359,41.8266157,1.531915587,-2.232753794,3.731121359,8.81,4.649670175,0.335410197,15.78567466
162.4,90.0,1.1127,2.803039488,0.0,4.76,0.0,3.245112498,6.747798342,26.31013685,0.0,2.670461187,34.77894371,0.97467268,-2.300196406,2.670461187,8.81,4.612538159,0.0,0.0
0.97,44.85,1.1127,4.431293675,0.0,-15.0,0.0,4.14170945,6.747798342,26.31013685,0.0,2.670461187,34.77894371,0.97467268,-2.300196406,2.670461187,8.81,4.612538159,0.0,0.0
4.997,36.95,6.3501,5.284512596,0.0,-11.0,0.0,484.0282471,16.38778025,103.3599963,0.0,7.254749883,53.97865591,3.175878719,-2.30158942,7.254749883,8.81,4.807506135,0.781235864,16.83559397
19.159,70.0,0.3325,3.023715784,0.0,-0.4,0.0,3.609640474,5.33358478,13.46849361,0.0,1.909528765,24.01500049,0.688772899,-2.281029183,1.909528765,8.81,4.609221388,0.0,0.0
14.118,40.0,3.0531,5.284512596,0.0,-10.5,0.0,484.0282471,9.396961064,45.95158251,0.0,4.389779583,27.94281836,1.301501837,-2.393790268,4.389779583,0.0,4.413194669,0.781235864,16.83559397
10.052,50.0,0.3325,3.602196822,0.0,-3.0,0.0,18.14170945,5.33358478,13.46849361,0.0,1.909528765,24.01500049,0.688772899,-2.281029183,1.909528765,8.81,4.609221388,0.262188697,8.417796984
10.18,60.0,1.8929,5.284512596,0.0,-11.0,0.0,484.0282471,8.162011905,39.1517801,0.0,3.377567969,41.8266157,1.355138891,-2.301490519,3.377567969,8.81,4.613626824,0.781235864,16.83559397
12.2,40.0,-2.5143,0.0,10.21305479,-6.0,16.72166667,0.0,5.222854316,0.0,13.21376393,1.904320377,0.0,0.506720681,-3.095470055,1.904320377,44.9,4.199979258,0.0,0.0
0.0225,25.0,1.1127,5.284512596,0.0,-11.0,0.0,484.0282471,6.747798342,26.31013685,0.0,2.670461187,34.77894371,0.97467268,-2.300196406,2.670461187,8.81,4.612538159,0.781235864,16.83559397
0.5,65.0,1.6368,5.284512596,0.0,-11.0,0.0,484.0282471,6.689854283,26.18620207,0.0,3.497430866,13.97140918,1.86229292,-2.406421229,3.497430866,0.0,4.499575973,0.781235864,16.83559397
7.66,30.0,-0.6951,3.023715784,5.106527395,-0.4,8.498854875,3.609640474,5.487905156,6.544756406,6.606881965,2.040514595,0.0,0.749454665,-2.23449804,2.040514595,29.04,4.642363983,0.0,0.0
74.949,64.85,1.1127,4.431293675,0.0,-15.0,0.0,4.14170945,6.747798342,26.31013685,0.0,2.670461187,34.77894371,0.97467268,-2.300196406,2.670461187,8.81,4.612538159,0.0,0.0
4.44,60.0,-0.6951,3.023715784,5.106527395,-0.4,8.498854875,3.609640474,5.487905156,6.544756406,6.606881965,2.040514595,0.0,0.749454665,-2.23449804,2.040514595,29.04,4.642363983,0.0,0.0
10.999,50.0,2.08262,3.023715784,0.0,-0.4,0.0,3.609640474,7.377935016,33.23387405,0.0,2.966872425,42.94099533,1.021618269,-2.317597677,2.966872425,3.88,5.025126634,0.0,0.0
7.0,9.95,1.1127,5.284512596,0.0,-11.0,0.0,484.0282471,6.747798342,26.31013685,0.0,2.670461187,34.77894371,0.97467268,-2.300196406,2.670461187,8.81,4.612538159,0.781235864,16.83559397
0.1,50.0,0.7226,5.284512596,0.0,-11.0,0.0,484.0282471,6.040691561,19.88931523,0.0,2.316907797,34.77894371,0.892183501,-2.296317518,2.316907797,8.81,4.611389574,0.781235864,16.83559397
18.999,25.0,1.6368,4.458227082,0.0,-10.0,0.0,27.43574108,6.689854283,26.18620207,0.0,3.497430866,13.97140918,1.86229292,-2.406421229,3.497430866,0.0,4.499575973,0.178059741,16.83559397
116.2,80.0,1.1127,0.0,0.0,-6.0,0.0,0.0,6.747798342,26.31013685,0.0,2.670461187,34.77894371,0.97467268,-2.300196406,2.670461187,8.81,4.612538159,0.0,0.0
36.658,40.0,1.1127,5.284512596,0.0,-11.0,0.0,484.0282471,6.747798342,26.31013685,0.0,2.670461187,34.77894371,0.97467268,-2.300196406,2.670461187,8.81,4.612538159,0.781235864,16.83559397
0.099,40.0,1.8828,4.458227082,0.0,-10.0,0.0,27.43574108,7.27564072,27.19203322,0.0,2.975566021,27.81888358,1.079669128,-2.434034061,2.975566021,0.0,4.302042132,0.178059741,16.83559397
25.2,65.0,2.0269,5.284512596,0.0,-11.0,0.0,484.0282471,7.396961064,32.60702369,0.0,3.850984256,13.97140918,1.86229292,-2.408798699,3.850984256,0.0,4.508065721,0.781235864,16.83559397
2.0,25.0,1.42112,3.023715784,0.0,-0.4,0.0,3.609640474,7.670448073,33.23387405,0.0,3.003208827,42.42303282,1.163612434,-2.346436727,3.003208827,8.81,4.759205291,0.0,0.0
41.14,82.8,-0.305,2.803039488,5.106527395,-1.4,8.514237528,3.245112498,6.195011938,12.96557803,6.606881965,2.394067985,4.567099648,0.887269475,-2.307193649,2.394067985,29.04,4.612611139,0.0,0.0
0.499,25.0,1.6368,4.458227082,0.0,-10.0,0.0,27.43574108,6.689854283,26.18620207,0.0,3.497430866,13.97140918,1.86229292,-2.406421229,3.497430866,0.0,4.499575973,0.178059741,16.83559397
92.46,119.95,1.1127,3.850621639,0.0,-3.0,0.0,12.16479704,6.747798342,26.31013685,0.0,2.670461187,34.77894371,0.97467268,-2.300196406,2.670461187,8.81,4.612538159,0.204124145,8.417796984
6.0,10.0,1.42112,3.023715784,0.0,-0.4,0.0,3.609640474,7.670448073,33.23387405,0.0,3.003208827,42.42303282,1.163612434,-2.346436727,3.003208827,8.81,4.759205291,0.0,0.0
2.5,10.0,1.6762,2.498760777,0.0,1.8,0.0,394.8903508,7.032255393,26.31013685,0.0,2.634779991,24.2666161,0.991808691,-2.299474094,2.634779991,8.81,5.124721106,1.286653998,4.983978521
18.492,60.0,1.8929,5.284512596,0.0,-11.0,0.0,484.0282471,8.162011905,39.1517801,0.0,3.377567969,41.8266157,1.355138891,-2.301490519,3.377567969,8.81,4.613626824,0.781235864,16.83559397
0.0489,25.0,0.3325,5.284512596,0.0,-11.0,0.0,484.0282471,5.33358478,13.46849361,0.0,1.909528765,24.01500049,0.688772899,-2.281029183,1.909528765,8.81,4.609221388,0.781235864,16.83559397
24.761,40.0,0.7457,5.284512596,9.473725908,-11.0,0.0,484.0282471,8.799244082,6.9237372,0.0,3.580737737,21.01908117,0.714108485,-2.415167005,3.580737737,18.46,4.318402451,0.781235864,16.83559397
4.916,40.0,0.3325,3.602196822,0.0,-3.0,0.0,18.14170945,5.33358478,13.46849361,0.0,1.909528765,24.01500049,0.688772899,-2.281029183,1.909528765,8.81,4.609221388,0.262188697,8.417796984
18.998,50.0,0.4986,5.284512596,0.0,-10.5,0.0,484.0282471,5.61804183,6.544756406,0.0,2.064550319,11.14603533,0.758783698,-2.231679569,2.064550319,8.81,4.730718693,0.781235864,16.83559397
0.0372,59.93,1.5028,9.210794632,0.0,-16.0,0.0,37838334.96,7.454905123,32.73095847,0.0,3.024014578,41.8266157,1.178362196,-2.232716637,3.024014578,8.81,4.647903287,5.182192544,0.0
0.198,25.01,2.1037,5.284512596,0.0,-10.0,0.0,484.0282471,10.62491473,30.36470764,6.668691189,4.733560289,0.0,1.660705838,-3.033879747,4.733560289,7.68,5.003328737,0.781235864,16.83559397
24.537,70.0,1.8929,5.284512596,0.0,-11.0,0.0,484.0282471,8.162011905,39.1517801,0.0,3.377567969,41.8266157,1.355138891,-2.301490519,3.377567969,8.81,4.613626824,0.781235864,16.83559397
6.0,44.99,2.8071,5.284512596,0.0,-11.0,0.0,484.0282471,8.811174626,45.44866694,0.0,4.558091038,13.97140918,2.242759131,-2.409463473,4.558091038,0.0,4.517695573,0.781235864,16.83559397
0.389,30.0,1.6762,3.311835207,0.0,2.17,0.0,312.6461024,7.032255393,26.31013685,0.0,2.634779991,24.2666161,0.991808691,-2.299474094,2.634779991,8.81,5.124721106,1.310104925,0.0
3.5,25.0,1.1127,4.431293675,0.0,-15.0,0.0,4.14170945,6.747798342,26.31013685,0.0,2.670461187,34.77894371,0.97467268,-2.300196406,2.670461187,8.81,4.612538159,0.0,0.0
2.0,50.0,2.0269,5.284512596,0.0,-11.0,0.0,484.0282471,7.396961064,32.60702369,0.0,3.850984256,13.97140918,1.86229292,-2.408798699,3.850984256,0.0,4.508065721,0.781235864,16.83559397
20.0,65.0,2.8071,5.284512596,0.0,-11.0,0.0,484.0282471,8.811174626,45.44866694,0.0,4.558091038,13.97140918,2.242759131,-2.409463473,4.558091038,0.0,4.517695573,0.781235864,16.83559397
20.0,24.45,2.6731,5.284512596,0.0,-11.0,0.0,484.0282471,9.576225467,51.99342334,0.0,4.08467475,41.8266157,1.708692282,-2.301583331,4.08467475,8.81,4.614116271,0.781235864,16.83559397
20.0,25.02,1.6368,5.284512596,0.0,-11.0,0.0,484.0282471,6.689854283,26.18620207,0.0,3.497430866,13.97140918,1.86229292,-2.406421229,3.497430866,0.0,4.499575973,0.781235864,16.83559397
2.5,10.0,0.3325,5.284512596,0.0,-11.0,0.0,484.0282471,5.33358478,13.46849361,0.0,1.909528765,24.01500049,0.688772899,-2.281029183,1.909528765,8.81,4.609221388,0.781235864,16.83559397
6.872,70.0,-0.6951,4.431293675,5.106527395,-15.0,8.498854875,4.14170945,5.487905156,6.544756406,6.606881965,2.040514595,0.0,0.749454665,-2.23449804,2.040514595,29.04,4.642363983,0.0,0.0
12.0,25.0,1.8929,8.661439749,0.0,-16.0,0.0,974112.7932,8.162011905,39.1517801,0.0,3.377567969,41.8266157,1.355138891,-2.301490519,3.377567969,8.81,4.613626824,3.999174406,0.0
0.102,75.0,1.1127,3.023715784,0.0,-0.4,0.0,3.609640474,6.747798342,26.31013685,0.0,2.670461187,34.77894371,0.97467268,-2.300196406,2.670461187,8.81,4.612538159,0.0,0.0
12.02,25.05,0.3325,3.602196822,0.0,-3.0,0.0,18.14170945,5.33358478,13.46849361,0.0,1.909528765,24.01500049,0.688772899,-2.281029183,1.909528765,8.81,4.609221388,0.262188697,8.417796984
14.476,80.0,0.3325,3.602196822,0.0,-3.0,0.0,18.14170945,5.33358478,13.46849361,0.0,1.909528765,24.01500049,0.688772899,-2.281029183,1.909528765,8.81,4.609221388,0.262188697,8.417796984
0.499,9.95,1.1127,4.431293675,0.0,-15.0,0.0,4.14170945,6.747798342,26.31013685,0.0,2.670461187,34.77894371,0.97467268,-2.300196406,2.670461187,8.81,4.612538159,0.0,0.0
4.995,50.0,1.8929,5.284512596,0.0,-11.0,0.0,484.0282471,8.162011905,39.1517801,0.0,3.377567969,41.8266157,1.355138891,-2.301490519,3.377567969,8.81,4.613626824,0.781235864,16.83559397
2.499,36.95,6.3501,5.284512596,0.0,-11.0,0.0,484.0282471,16.38778025,103.3599963,0.0,7.254749883,53.97865591,3.175878719,-2.30158942,7.254749883,8.81,4.807506135,0.781235864,16.83559397
7.001,50.0,1.69252,5.284512596,0.0,-11.0,0.0,484.0282471,6.670828235,26.81305243,0.0,2.619130704,42.94099533,1.050273186,-2.318740555,2.619130704,3.88,5.006008193,0.781235864,16.83559397
4.0,40.0,-0.069,5.284512596,0.0,-10.5,0.0,484.0282471,5.621320344,19.76538045,0.0,2.310660172,21.01908117,0.530330086,-3.051731306,2.310660172,4.44,4.242602147,0.781235864,16.83559397
94.6,50.0,1.1127,2.803039488,0.0,4.76,0.0,3.245112498,6.747798342,26.31013685,0.0,2.670461187,34.77894371,0.97467268,-2.300196406,2.670461187,8.81,4.612538159,0.0,0.0
5.42,80.0,-0.6951,4.431293675,5.106527395,-15.0,8.498854875,4.14170945,5.487905156,6.544756406,6.606881965,2.040514595,0.0,0.749454665,-2.23449804,2.040514595,29.04,4.642363983,0.0,0.0
1.5,35.0,1.1127,2.847378923,0.0,2.34,0.0,9.651484454,6.747798342,26.31013685,0.0,2.670461187,34.77894371,0.97467268,-2.300196406,2.670461187,8.81,4.612538159,0.166666667,0.0
15.0006,10.0,1.1127,3.023715784,0.0,-0.4,0.0,3.609640474,6.747798342,26.31013685,0.0,2.670461187,34.77894371,0.97467268,-2.300196406,2.670461187,8.81,4.612538159,0.0,0.0
3.371,40.0,1.8929,5.284512596,0.0,-11.0,0.0,484.0282471,8.162011905,39.1517801,0.0,3.377567969,41.8266157,1.355138891,-2.301490519,3.377567969,8.81,4.613626824,0.781235864,16.83559397
165.7,80.0,1.1127,0.0,0.0,-6.0,0.0,0.0,6.747798342,26.31013685,0.0,2.670461187,34.77894371,0.97467268,-2.300196406,2.670461187,8.81,4.612538159,0.0,0.0
6.761,40.0,2.6731,5.284512596,0.0,-11.0,0.0,484.0282471,9.576225467,51.99342334,0.0,4.08467475,41.8266157,1.708692282,-2.301583331,4.08467475,8.81,4.614116271,0.781235864,16.83559397
15.937,40.0,0.6458,5.284512596,4.736862954,-10.0,0.0,484.0282471,7.88503052,13.8474744,5.969305288,3.315609357,21.01908117,0.594610077,-2.415939999,3.315609357,26.3,5.653310178,0.781235864,16.83559397
0.593,15.0,1.1127,3.637682548,0.0,2.29,0.0,39.36806555,6.747798342,26.31013685,0.0,2.670461187,34.77894371,0.97467268,-2.300196406,2.670461187,8.81,4.612538159,0.99039904,0.0
0.136,25.01,4.4415,5.284512596,0.0,-11.0,0.0,484.0282471,12.95422971,48.75452239,0.0,5.566687789,0.0,1.86252649,-2.696407643,5.566687789,8.81,5.096314209,0.781235864,16.83559397
12.0,50.0,1.42112,3.023715784,0.0,-0.4,0.0,3.609640474,7.670448073,33.23387405,0.0,3.003208827,42.42303282,1.163612434,-2.346436727,3.003208827,8.81,4.759205291,0.0,0.0
50.068,80.0,1.1127,5.284512596,0.0,-11.0,0.0,484.0282471,6.747798342,26.31013685,0.0,2.670461187,34.77894371,0.97467268,-2.300196406,2.670461187,8.81,4.612538159,0.781235864,16.83559397
